SYMBOL
RELIANCE
TCS
HDFCBANK
ICICIBANK
INFY
LT
SBIN
BHARTIARTL
ITC
KOTAKBANK
BAJFINANCE
ASIANPAINT
HCLTECH
MARUTI
AXISBANK
SUNPHARMA
ULTRACEMCO
TITAN
BAJAJFINSV
WIPRO
ONGC
TATAMOTORS
NTPC
POWERGRID
ADANIENT
COALINDIA
IOC
TATASTEEL
TATAPOWER
HINDUNILVR
DIVISLAB
BAJAJ-AUTO
M&M
HINDZINC
GRASIM
BRITANNIA
NESTLEIND
TECHM
EICHERMOT
HEROMOTOCO
CIPLA
DABUR
JSWSTEEL
BPCL
DRREDDY
TATACONSUM
UPL
HAVELLS
PIDILITIND
INDUSINDBK
BANKBARODA
PNB
LTIM
LTTS
SBICARD
ADANIGREEN
ADANIPORTS
INDIGO
DMART
ICICIPRULI
ICICIGI
HDFCLIFE
BAJAJHLDNG
BERGEPAINT
AMBUJACEM
LODHA
LICI
ABBOTINDIA
GODREJCP
COLPAL
MUTHOOTFIN
SHRIRAMFIN
BANDHANBNK
GAIL
HAL
ZOMATO
NYKAA
PAYTM
DELHIVERY
IRCTC
IDEA
SAIL
BEL
BHEL
NMDC
VEDL
HINDALCO
APOLLOHOSP
MCDOWELL-N
TATACOMM
TRENT
TVSMOTOR
INDIGO
AUROPHARMA
CUMMINSIND
AIAENG
PIIND
TATAELXSI
KEI
VINATIORGA
NEULANDLAB
LATENTVIEW
MAPMYINDIA
